"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Abby Kelley Foster Charter Public (District)","04450000",2019,1428,63.7,9.9,12,56.2,37.7,51.3,3.4,22.7,19.7,0.2,0.1,2.5
"Abington","00010000",2019,2056,10.4,5,15.9,35.6,21.8,3.6,2.2,7.5,85.3,0.4,0.1,0.9
"Academy Of the Pacific Rim Charter Public (District)","04120000",2019,526,29.8,11.8,23.8,65,38.2,60.5,1.1,27,8.9,0,0.2,2.3
"Acton-Boxborough","06000000",2019,5571,18.6,4.1,16,27.1,6.2,2.4,33,5.2,54.6,0.2,0.1,4.6
"Acushnet","00030000",2019,1004,1,0.8,14.2,34.8,24.9,0.8,0.4,3.3,92.8,0.1,0,2.6
"Adams-Cheshire","06030000",2019,1161,0.9,0.6,24,57.8,49.4,3.8,0.9,2.9,89.8,0.2,0.1,2.3
"Advanced Math and Science Academy Charter (District)","04300000",2019,974,23.8,4.5,6,22,6.6,1.8,17.4,5.7,67.7,0.3,0,7.1
"Agawam","00050000",2019,3747,10.7,5,16.5,41.8,29,2.2,3.2,8,83.8,0,0,2.7
"Alma del Mar Charter School (District)","04090000",2019,441,42.9,24.3,18.8,78.9,61.9,15.9,0,59,24.3,0.7,0,0.2
"Amesbury","00070000",2019,2058,3.6,1.7,21,36.9,23,1.8,1.2,7.8,85,0.1,0.1,3.9
"Amherst","00080000",2019,1131,30.4,15.9,20.8,49.1,31.7,8.7,14.4,21.4,47,0.3,0,8.2
"Amherst-Pelham","06050000",2019,1340,17.8,6.2,21.7,40.7,24.6,7.5,9.1,16.7,57.9,0.1,0.1,8.6
"Andover","00090000",2019,5957,14.6,3.8,19.9,29.3,7.5,2.2,18.4,6.2,70,0.2,0,3
"Argosy Collegiate Charter School (District)","35090000",2019,466,38.2,34.1,21,73.2,56,10.7,1.7,18.7,63.1,0.2,0,5.6
"Arlington","00100000",2019,5939,12,4.3,15.5,25.9,7.5,3.5,12.9,6.2,71,0.1,0.1,6.2
"Ashburnham-Westminster","06100000",2019,2354,3.6,1.3,18.2,30.7,15.8,0.6,0.9,4.8,91,0,0,2.6
"Ashland","00140000",2019,2845,22.7,5.4,16.5,31.7,13,2.5,14.8,11.7,67.1,0.6,0,3.2
"Assabet Valley Regional Vocational Technical","08010000",2019,1134,15.6,3.8,27.8,49.5,25,1,0.5,16.5,79.1,0.3,0,2.6
"Athol-Royalston","06150000",2019,1453,3.2,2,26,60.4,48.7,1.4,1.4,9.2,84.6,0,0,3.4
"Atlantis Charter (District)","04910000",2019,1294,21.2,10.5,13.8,54.6,41.6,5.6,1.8,10.7,77.9,0.2,0.1,3.8
"Attleboro","00160000",2019,5946,13.6,5.9,16.6,44.6,30.3,6.3,4.7,14.8,67.7,0.2,0.1,6.2
"Auburn","00170000",2019,2628,7.2,3.3,9.8,28.7,18.4,1.8,3.8,8.9,81.9,0.1,0,3.5
"Avon","00180000",2019,728,7,3,15.6,43.4,29.5,30.5,4.8,8.9,49.7,0.3,0,5.8
"Ayer Shirley School District","06160000",2019,1712,8.1,3.7,19.1,40.3,24.9,4,2.9,10.5,75.9,0.8,0.4,5.5
"Barnstable","00200000",2019,4791,19.8,10.1,16.9,49.3,31.9,7.8,1.9,15,69.4,0.4,0.3,5.3
"Barnstable Community Horace Mann Charter Public (District)","04270000",2019,290,46.2,25.2,9.3,59.7,41.7,17.9,3.4,28.6,45.5,0.3,0,4.1
"Baystate Academy Charter Public School (District)","35020000",2019,500,21.4,13,20.2,77.6,69.8,24.6,0.6,68.4,5,0,0.2,1.2
"Bedford","00230000",2019,2658,18.2,6.6,16.6,31,8.7,6.2,17.1,5.8,65.3,0,0.1,5.5
"Belchertown","00240000",2019,2267,1.9,0.9,19.1,32,18,2,1.6,4.5,88.4,0.2,0.2,3.2
"Bellingham","00250000",2019,2223,4.2,1.6,19.3,34.7,19,1.9,2.7,4.5,88.2,0.1,0.4,2.1
"Belmont","00260000",2019,4628,24.3,7.8,10.6,26.8,7.1,3.4,20.1,4.2,65.1,0.1,0.1,7.1
"Benjamin Banneker Charter Public (District)","04200000",2019,354,25.4,5.4,15,55.6,45.5,83.3,0.8,11,2,0.3,0.6,2
"Benjamin Franklin Classical Charter Public (District)","04470000",2019,459,19.4,5.7,12,26.1,7.4,2.4,22.7,3.5,67.1,0,0,4.4
"Bentley Academy Charter School (District)","35110000",2019,339,41.9,23.9,13.9,77.6,67,11.8,2.4,57.5,25.4,0,0,2.9
"Berkley","00270000",2019,888,0.9,0.9,14,28.3,17.2,0.3,0.1,1.7,93.8,0.1,0.1,3.8
"Berkshire Arts and Technology Charter Public (District)","04140000",2019,378,1.6,0.8,23,53.4,41.3,11.9,2.9,9.3,69.8,0.3,0,5.8
"Berkshire Hills","06180000",2019,1203,7.9,3.2,18.3,41.2,29,1.7,2.7,8.7,81.3,0.2,0.2,5.2
"Berlin","00280000",2019,183,8.7,3.3,12.5,26.6,15.3,0.5,2.2,4.4,88.5,0,0,4.4
"Berlin-Boylston","06200000",2019,583,7.4,1.7,18.4,28.3,12.2,2.4,3.6,3.4,87.8,0,0.2,2.6
"Beverly","00300000",2019,4565,8.4,3.6,21,40.6,25.4,3.4,2.4,13.4,77.2,0,0,3.5
"Billerica","00310000",2019,4764,8.5,1.5,17,30.1,15.6,4.5,7.9,6.6,77.7,0.1,0.1,3.1
"Blackstone Valley Regional Vocational Technical","08050000",2019,1230,0.9,0.2,9.5,18.4,9.8,0.9,2,4.4,91.4,0,0,1.4
"Blackstone-Millville","06220000",2019,1699,6.9,2.4,17,36.1,22,1.1,0.9,6.9,87.1,0,0,4.1
"Blue Hills Regional Vocational Technical","08060000",2019,856,10.7,0.7,24.9,45.2,23.5,22.7,1.4,12.7,58.1,0.6,0.1,4.4
"Boston","00350000",2019,51433,48.3,32.1,20.3,76.2,56.5,30.9,8.9,42.1,14.6,0.3,0.1,3.1
"Boston Collegiate Charter (District)","04490000",2019,693,13,4,18.2,48.5,28.4,31.7,2.3,18.3,45.3,0.1,0,2.2
"Boston Day and Evening Academy Charter (District)","04240000",2019,421,26.4,12.6,27.3,75.8,60.6,47.3,1,43,5.7,0.5,0,2.6
"Boston Green Academy Horace Mann Charter School (District)","04110000",2019,476,36.6,15.5,30.5,80.3,60.9,45,2.7,40.1,9,0.2,0.4,2.5
"Boston Preparatory Charter Public (District)","04160000",2019,526,31.4,22.4,20.5,69.4,44.3,65,1.7,28.9,1.1,0.2,0.2,2.9
"Boston Renaissance Charter Public (District)","04810000",2019,954,23,12.7,11.3,63.5,50.4,62.6,0.3,31.3,2,0,0,3.8
"Bourne","00360000",2019,1935,1.1,0.7,17.3,38.3,26.4,1.5,1.6,5.9,86.8,0.9,0.2,3.2
"Boxford","00380000",2019,718,0.8,0.7,18.3,21.9,4,0.6,4.5,2.2,87,0.1,0,5.6
"Boylston","00390000",2019,298,10.1,3,14.7,24.4,8.4,1.3,5.4,6,83.2,0.3,0,3.7
"Braintree","00400000",2019,5842,16.9,5.8,20.2,39.3,17.9,4.8,19.8,4.8,68.8,0.1,0.1,1.5
"Brewster","00410000",2019,478,4.2,2.7,19.7,36.3,22.6,1.9,0.6,6.5,85.8,0,0,5.2
"Bridge Boston Charter School (District)","04170000",2019,339,43.1,26.5,22.1,79.6,59.3,65.2,1.2,29.2,0.9,0,0.3,3.2
"Bridgewater-Raynham","06250000",2019,5375,2.7,1.5,16.2,29,16.1,5.2,2,1.1,87,0.1,0.1,4.4
"Brimfield","00430000",2019,293,0,0,16.9,32.9,20.5,1.7,1.4,2,93.9,1,0,0
"Bristol County Agricultural","09100000",2019,454,0,0,13.2,33.7,23.8,1.3,0,4,93.2,0,0.2,1.3
"Bristol-Plymouth Regional Vocational Technical","08100000",2019,1288,2.6,0.2,16.6,37.3,24.7,3.2,0.6,6.7,85.4,0.7,0,3.4
"Brockton","00440000",2019,16349,43.1,25.4,16,71.5,54,59.4,2,15.8,17.7,0.4,0.2,4.5
"Brooke Charter School (District)","04280000",2019,1853,18.6,6.9,10.3,59.4,45.7,53.4,1.8,38.5,4.5,0.1,0,1.6
"Brookfield","00450000",2019,316,0.9,0,13.9,38.9,30.4,0.3,0,6,90.2,0,0,3.5
"Brookline","00460000",2019,7855,31.8,11,15.8,35.7,9.3,5.8,20.1,10.7,53.9,0,0.1,9.5
"Burlington","00480000",2019,3533,18.3,4.2,13.7,27.8,11.4,6.1,17,6.2,66.4,0.3,0,4.1
"Cambridge","00490000",2019,7052,27.3,8,22.1,47.6,28.6,23.8,12.8,13.7,40.5,0.3,0.2,8.7
"Canton","00500000",2019,3272,6,2.4,11.5,25.2,13.1,10.5,10.8,5.1,67.8,0,0.2,5.6
"Cape Cod Lighthouse Charter (District)","04320000",2019,242,1.7,0.4,15.7,30.2,16.5,2.5,2.1,4.5,85.5,0.4,0,5
"Cape Cod Regional Vocational Technical","08150000",2019,571,4.6,2.6,32,61.3,39.1,7.9,0.7,12.1,72.5,1.9,0.5,4.4
"Carlisle","00510000",2019,600,7,2.3,15.6,22,3.2,0.7,11.2,4.5,73.7,0,0,10
"Carver","00520000",2019,1555,1.4,1.3,19.1,35.7,21.9,1.3,0.5,1.5,95.1,0.2,0.1,1.3
"Central Berkshire","06350000",2019,1579,0.8,0.3,15.4,39.1,30.5,0.6,0.8,3.9,91.1,0.2,0,3.3
"Chelmsford","00560000",2019,4961,15,3.6,16.9,30,12.2,3.1,15.1,5.7,72.8,0.2,0.1,3
"Chelsea","00570000",2019,6088,82.4,37.8,16.1,82.1,62.5,5,1,86.6,6.5,0.1,0,0.8
"Chesterfield-Goshen","06320000",2019,129,0.8,0,28.7,46.5,24,1.6,0,1.6,95.3,1.6,0,0
"Chicopee","00610000",2019,7392,13.9,6,18.4,60.7,52.2,4.2,2.1,38.2,52.3,0.1,0,3.1
"Christa McAuliffe Charter Public (District)","04180000",2019,398,5.5,3,23.1,42,21.1,2.5,4,12.8,75.4,0.3,0,5
"City on a Hill Charter Public School Circuit Street (District)","04370000",2019,271,26.6,14,20.3,73.4,56.5,67.9,0,29.9,1.8,0,0,0.4
"City on a Hill Charter Public School Dudley Square (District)","35040000",2019,245,40,22,24.5,80,55.9,67.8,2.4,26.9,1.6,0,0,1.2
"City on a Hill Charter Public School New Bedford (District)","35070000",2019,217,51.2,21.2,31.8,82,67.3,11.1,0.9,45.6,36.4,0.9,0,5.1
"Clarksburg","00630000",2019,185,0,0,23.5,47.1,30.8,0,0,0.5,96.2,0,0,3.2
"Clinton","00640000",2019,1858,23.4,9.5,21.2,52.7,36.1,3.4,1.5,25,68,0,0.1,2
"Codman Academy Charter Public (District)","04380000",2019,342,12,5.8,17.8,67.8,53.8,75.7,0,21.9,0.6,0.3,0.6,0.9
"Cohasset","00650000",2019,1557,0.7,0.2,13.5,18,5.2,3,2.4,1.3,91.8,0.1,0,1.3
"Collegiate Charter School of Lowell (District)","35030000",2019,846,22.6,22.6,9,62.1,40.4,18.8,25.1,36.1,15.4,0.1,0,4.6
"Community Charter School of Cambridge (District)","04360000",2019,332,40.1,3.9,15.1,47,32.5,65.1,4.8,20.8,4.2,0.6,0.3,4.2
"Community Day Charter Public School - Gateway (District)","04260000",2019,360,68.3,24.2,10.3,80.6,50.3,1.1,0.6,95.6,2.5,0.3,0,0
"Community Day Charter Public School - Prospect (District)","04400000",2019,399,69.9,30.8,13.3,78.9,47.9,0.5,0.3,97.2,2,0,0,0
"Community Day Charter Public School - R. Kingman Webster (District)","04310000",2019,360,59.7,29.4,8.6,75.3,49.4,1.1,1.1,93.6,3.6,0,0,0.6
"Concord","00670000",2019,2099,7.5,2.9,18.8,27.1,6.7,4.2,7.2,6.3,75.7,0.1,0,6.3
"Concord-Carlisle","06400000",2019,1274,5.4,0.5,18.1,23,5.8,4.2,8.7,4.6,77.6,0.1,0,4.8
"Conservatory Lab Charter (District)","04390000",2019,441,16.8,15.2,11.1,64.9,48.8,48.8,3.2,40.8,4.8,0,0,2.5
"Conway","00680000",2019,135,0,0,16.3,34.1,24.4,1.5,0,5.2,92.6,0,0,0.7
"Danvers","00710000",2019,3481,3.4,1.1,16.6,29.4,15.9,2.3,2.6,7.8,84.4,0.2,0.1,2.6
"Dartmouth","00720000",2019,3618,3.5,2.3,15.3,34.1,22.1,1.4,0.6,4.1,87.7,0,0,6.2
"Dedham","00730000",2019,2687,14.9,7.3,23.2,42.4,23,7.3,2.6,16,69.6,0.2,0,4.3
"Deerfield","00740000",2019,392,2.3,1.3,20.7,34.4,19.4,0.3,0.8,6.1,85.7,0,0,7.1
"Dennis-Yarmouth","06450000",2019,3025,17.9,9.5,19.5,55.9,39.9,9.4,2.2,12.5,67.1,2.1,0.2,6.5
"Dighton-Rehoboth","06500000",2019,2902,1.1,0.2,15.8,28,15.8,1.1,1.3,4.5,89.6,0.1,0,3.4
"Douglas","00770000",2019,1296,0.6,0.5,18.2,29.6,15.4,0.5,1.1,3.8,91.4,0,0.2,3
"Dover","00780000",2019,499,5.8,3.2,13.1,19.7,2,3.4,14.8,4.2,72.5,0,0.2,4.8
"Dover-Sherborn","06550000",2019,1196,4.8,0.3,17.5,21.2,3.8,2.9,8.7,4,80.1,0.2,0,4.1
"Dracut","00790000",2019,3582,4,1.6,16.6,35.7,21.9,6.6,6.6,9.5,75.3,0.2,0,1.8
"Dudley Street Neighborhood Charter School (District)","04070000",2019,256,32.8,25.4,9.4,74.6,59,62.5,0,34.8,2,0.4,0,0.4
"Dudley-Charlton Reg","06580000",2019,3800,7.1,2.4,14.9,32.9,21,1.6,1.2,8.4,85.7,0.2,0.1,2.9
"Duxbury","00820000",2019,3015,1.7,0.3,15.3,19.6,5.2,0.3,1.3,2.3,92.7,0.1,0,3.3
"East Bridgewater","00830000",2019,2252,1.3,0.8,19.1,32.9,18.1,2.8,0.8,2.1,91.2,0.4,0,2.7
"East Longmeadow","00870000",2019,2624,7.6,2,18.4,34.9,19.3,3.5,5.3,8.6,79.5,0.2,0.1,2.8
"Eastham","00850000",2019,171,8.8,4.7,20.5,42.7,26.9,8.2,3.5,1.8,83.6,0,0,2.9
"Easthampton","00860000",2019,1545,6.2,2.9,20.6,41.5,28.9,1.1,3.6,13.1,78.8,0.3,0.1,3
"Easton","00880000",2019,3632,5,1.8,18.3,28.4,12.9,6.2,3.2,5.5,81.6,0.4,0.1,3.1
"Edgartown","00890000",2019,370,33.5,21.6,22.7,56.5,28.9,3.5,0.3,19.7,67.8,2.4,0,6.2
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","04520000",2019,383,55.4,17.2,16.7,73.9,55.1,40.7,0.8,51.4,3.7,0.5,0,2.9
"Erving","00910000",2019,128,1.6,1.6,17.8,38.8,25.8,0.8,0,3.1,84.4,0,0,11.7
"Essex North Shore Agricultural and Technical School District","08170000",2019,1413,7.4,0.1,17.7,32.7,17.2,1.1,1.6,12,81.8,0.4,0,3
"Everett","00930000",2019,7107,65.1,25,17.8,71,48.1,16.4,5.1,54.4,22,0.4,0.1,1.7
"Excel Academy Charter (District)","04100000",2019,1297,62.1,12,19.7,68.1,42.4,6.4,1.2,79.3,11.4,0.8,0.3,0.5
"Fairhaven","00940000",2019,2025,3.7,1.6,16.3,38.9,28.1,2.2,1.8,5.5,86.3,0.6,0,3.5
"Fall River","00950000",2019,10120,25.7,16.4,21.2,76.4,67.1,8.4,3.9,27.5,51.3,0.2,0.1,8.7
"Falmouth","00960000",2019,3351,6.7,3.4,17.3,40.4,28.4,4.8,2.2,6.2,79.5,1.2,0.1,6
"Farmington River Reg","06620000",2019,115,0,0,23.9,52.1,40.9,0,0,0.9,99.1,0,0,0
"Fitchburg","00970000",2019,5362,34.8,15.6,24.2,72.4,60.9,6.5,4.8,51.8,29.6,0,0.1,7.3
"Florida","00980000",2019,87,0,0,29.9,50.6,27.6,1.1,0,0,98.9,0,0,0
"Four Rivers Charter Public (District)","04130000",2019,219,2.3,0,13.2,34.7,24.2,2.3,1.8,7.3,83.6,0.5,0,4.6
"Foxborough","00990000",2019,2553,3.7,2.5,19.5,30.7,15.4,4.8,4.3,5.4,82.1,0.4,0.1,2.7
"Foxborough Regional Charter (District)","04460000",2019,1630,19.9,9.3,9,39.9,21.4,46.7,9.8,4.8,32.9,0.3,0.2,5.3
"Framingham","01000000",2019,8822,45,22.4,22.9,58.6,33,7.6,4.9,27.4,55.7,0.1,0.1,4.3
"Francis W. Parker Charter Essential (District)","04780000",2019,397,2,0,13.9,19.9,7.1,1,1.8,2.3,89.9,0,0,5
"Franklin","01010000",2019,5198,5.4,1.6,18.9,26.6,9.7,1.9,5.6,3.4,86.2,0.1,0.8,2
"Franklin County Regional Vocational Technical","08180000",2019,494,0,0,33,55.3,34.6,1.6,0,3.6,92.3,0,0,2.4
"Freetown-Lakeville","06650000",2019,2801,1.3,0.6,15.4,28.6,17.2,1.4,0.8,1.7,93.8,0.1,0.1,2.1
"Frontier","06700000",2019,647,2.8,0.8,20.2,33,17.8,1.4,2.8,4.2,88.4,0,0.2,3.1
"Gardner","01030000",2019,2290,9,4.4,21.4,63.2,53.1,2.7,2.1,20.5,66.9,0.2,0,7.6
"Gateway","06720000",2019,825,3.8,2.7,19.9,42.8,31,0.8,0.4,4.2,91.8,0.4,0.1,2.3
"Georgetown","01050000",2019,1404,1.2,0.2,11.2,18.3,8.8,0.6,1.2,2.1,94.1,0,0.1,1.9
"Gill-Montague","06740000",2019,935,7.8,4.8,24.2,59.4,47.4,1.3,0.4,11.4,79.7,0.2,0.2,6.7
"Global Learning Charter Public (District)","04960000",2019,505,33.5,9.9,14.3,68.3,53.5,10.3,1,40.8,43,0.6,0,4.4
"Gloucester","01070000",2019,2886,9.4,6.2,26.4,52.8,35.3,1.8,1.2,10.2,83,0.3,0.2,3.4
"Grafton","01100000",2019,3173,3,1.5,18.9,28.3,11.8,1.6,12.1,4.6,78.3,0.1,0.1,3
"Granby","01110000",2019,727,6.9,4.4,17.8,36.9,25,0.1,1.5,9.5,86,0.4,0,2.5
"Greater Fall River Regional Vocational Technical","08210000",2019,1413,6.4,1.6,11.3,43.3,35.5,2.6,1.8,11.5,77.7,0.4,0.1,5.8
"Greater Lawrence Regional Vocational Technical","08230000",2019,1576,45.3,12.9,20,70.1,49.9,1.1,1.3,82.3,15.2,0.1,0,0
"Greater Lowell Regional Vocational Technical","08280000",2019,2256,25.6,7.5,18.7,62.8,43.2,4.3,15.8,34.4,41.4,0.3,0,3.8
"Greater New Bedford Regional Vocational Technical","08250000",2019,2139,21.5,3.3,10.8,46.9,37.9,8.3,0.9,22.6,63.3,0.4,0,4.3
"Greenfield","01140000",2019,1732,10,5.9,18,57,49.4,2.5,1.4,19.2,71.6,0.1,0,5.2
"Greenfield Commonwealth Virtual District","39010000",2019,590,4.2,0.2,21.2,57.6,48.5,11,4.2,17.8,60,0.3,0.7,5.9
"Groton-Dunstable","06730000",2019,2400,2.4,1,17.1,23,7.1,1.1,6.5,2.4,87.1,0.3,0.2,2.5
"Hadley","01170000",2019,536,7.3,5,14.9,28.8,17.4,2.2,4.7,9.5,78,0.4,2.2,3
"Halifax","01180000",2019,608,1.3,1,16.5,31,16.4,1.3,0.2,4.3,91.3,0.3,0,2.6
"Hamilton-Wenham","06750000",2019,1769,1.3,0.5,17.6,23,7.1,0.5,3.7,4.2,89.3,0.1,0.3,2
"Hampden Charter School of Science East (District)","04990000",2019,508,4.9,3.7,9.4,51.4,43.1,29.5,2,32.5,33.7,0.2,0,2.2
"Hampden Charter School of Science West (District)","35160000",2019,209,12.4,12.4,17.2,60.8,44,12.4,1.4,28.2,55,0.5,0,2.4
"Hampden-Wilbraham","06800000",2019,3057,2.7,0.9,13.8,25.4,15,2.5,2.7,7.1,84.2,0.2,0.1,3.2
"Hampshire","06830000",2019,719,3.5,1.3,21,31,14.7,0.6,0.8,2.8,93.3,0,0,2.5
"Hancock","01210000",2019,34,0,0,11.8,29.4,23.5,2.9,0,0,97.1,0,0,0
"Hanover","01220000",2019,2645,2.9,0.9,17.8,24.9,8.4,0.9,2.3,2.3,93.8,0,0,0.6
"Harvard","01250000",2019,1065,4.9,1.4,11.2,17.5,4.7,2.1,11.2,4,79.6,0,0,3.1
"Hatfield","01270000",2019,436,0.7,0,18,28.6,14,0.5,1.4,4.8,90.8,0,0,2.5
"Haverhill","01280000",2019,8047,17,9.5,22.9,59.7,45.5,4.4,1.7,36.9,54.5,0.2,0.1,2.1
"Hawlemont","06850000",2019,151,1.3,0,22.4,55.3,46.4,0.7,0,9.3,84.8,0.7,0,4.6
"Helen Y. Davis Leadership Academy Charter Public (District)","04190000",2019,191,11,8.9,26.2,74.3,62.8,71.7,0.5,26.2,0.5,0.5,0.5,0
"Hill View Montessori Charter Public (District)","04550000",2019,304,11.8,10.9,16.4,37.5,16.8,5.3,0.3,23.4,68.8,0,0,2.3
"Hilltown Cooperative Charter Public (District)","04500000",2019,217,0.9,0,18.9,28.6,15.2,0.9,0.9,4.1,81.6,0,0,12.4
"Hingham","01310000",2019,4242,1.4,0.3,13,16.7,4.7,1.2,2.6,3.1,90.1,0,0,2.9
"Holbrook","01330000",2019,1259,18.3,7.4,21.4,50.8,31.5,21,4.9,13.4,52.5,0.2,0,7.9
"Holland","01350000",2019,226,0,0,14.2,39.4,31.9,1.3,1.3,7.1,89.4,0,0,0.9
"Holliston","01360000",2019,2889,9.2,2.2,16.6,24.3,6.7,1,8.3,5.1,82.5,0.2,0,3
"Holyoke","01370000",2019,5241,42.7,22.4,24.8,83.8,77.8,3.1,0.8,81,13.8,0.1,0,1.2
"Holyoke Community Charter (District)","04530000",2019,704,27.7,15.1,19.2,76.7,68,1.4,0.6,92,4.4,0,0,1.6
"Hopedale","01380000",2019,1087,5.2,1.9,21.3,29.2,10.9,0.9,1.6,5.7,86.8,0.6,0.2,4.1
"Hopkinton","01390000",2019,3685,9.8,5.4,12.5,21.9,4.5,0.7,17.1,3.5,75.1,0.2,0,3.4
"Hudson","01410000",2019,2544,23,9.6,16.7,38.9,20.8,1.8,1.9,11.8,81.7,0.1,0,2.6
"Hull","01420000",2019,887,1.2,0.3,21.6,43.6,30.4,1.4,1.6,1.9,93.1,0,0,2
"Innovation Academy Charter (District)","04350000",2019,797,7.2,1.8,19.7,32,11.3,5.8,7.7,7.5,73.9,0.1,0,5
"Ipswich","01440000",2019,1708,5,2.5,17.2,28.2,13.7,1.2,1.8,5.5,87.4,0.1,0,4.1
"King Philip","06900000",2019,2024,2.2,0.7,16.4,22.9,8.8,1.9,2.2,3,90.9,0,0,1.9
"Kingston","01450000",2019,1040,2.4,2,17.4,31.8,16.9,0.7,0.4,2.5,95.3,0.5,0,0.7
"KIPP Academy Boston Charter School (District)","04630000",2019,594,51.9,27.8,20.4,83.5,63.3,67.7,0.5,30,0.3,0.2,0,1.3
"KIPP Academy Lynn Charter (District)","04290000",2019,1456,75.1,19,12.8,71.2,49.2,20.3,3.2,67.4,5.9,0.1,0.1,3
"Lawrence","01490000",2019,13658,72.1,35.9,19.2,84.4,63.3,1.3,1.2,93.4,3.7,0,0,0.4
"Lawrence Family Development Charter (District)","04540000",2019,760,79.1,28,7.6,74.7,54.7,0.7,0,98.3,1.1,0,0,0
"Lee","01500000",2019,703,6.8,4.4,12.1,43.5,33.9,0.6,3.4,8.5,84.8,0.1,0,2.6
"Leicester","01510000",2019,1536,6.5,2.7,17.4,38.6,25.7,5.4,2.6,8.9,80.1,0.2,0.1,2.7
"Lenox","01520000",2019,756,7.7,2.4,10.3,26.1,16,0.4,4.4,8.5,82.9,0,0,3.8
"Leominster","01530000",2019,6027,25.6,11.9,22.7,55.6,38.6,8.2,3.2,34.9,49.3,0.1,0.1,4.2
"Leverett","01540000",2019,135,1.5,0,12.6,30.4,23,0,0,5.9,84.4,0,0,9.6
"Lexington","01550000",2019,7259,30.8,8.8,14.1,29.7,5.4,4,39.3,4,45.9,0.1,0,6.8
"Libertas Academy Charter School (District)","35140000",2019,178,35.4,24.7,25.8,88.8,82.6,12.4,0,84.8,1.7,0,0,1.1
"Lincoln","01570000",2019,1192,8.2,5,20.8,29.1,5.6,8.9,3.6,15.9,60.7,0.3,0.3,10.3
"Lincoln-Sudbury","06950000",2019,1528,2.9,0.5,19.9,24.7,6.3,4.8,6.2,4.6,79.8,0.1,0.1,4.4
"Littleton","01580000",2019,1653,5.4,2.1,17.7,25.1,6.9,0.9,9.3,1.8,84.8,0.2,0.2,2.8
"Longmeadow","01590000",2019,2874,5.5,0.8,18.5,24.6,7,2.4,9.9,5,78.7,0,0.1,3.8
"Lowell","01600000",2019,14548,28.6,23.7,17.3,72.4,53.8,7.9,28.7,33.1,26.4,0.1,0,3.9
"Lowell Community Charter Public (District)","04560000",2019,820,73.2,53.9,17.1,78.7,46.6,25.2,19.1,47.7,4.1,0,0,3.8
"Lowell Middlesex Academy Charter (District)","04580000",2019,82,12.2,9.8,28,69.5,58.5,3.7,28,34.1,29.3,0,0,4.9
"Ludlow","01610000",2019,2594,8.6,2.9,15.7,38.5,27.4,2,0.7,10.8,83.5,0.4,0,2.6
"Lunenburg","01620000",2019,1649,3.2,1.5,16.7,29.5,16.7,2.1,2,7,86.1,0.4,0.3,2.1
"Lynn","01630000",2019,15751,54.6,25,16.5,73.7,56.7,9.2,8.5,63,15.4,0.3,0,3.5
"Lynnfield","01640000",2019,2201,7.4,2.1,17.7,25,7.2,1.7,6,5.3,84.2,0,0,2.7
"Ma Academy for Math and Science","04680000",2019,98,0,0,0,2,2,2,50,4.1,35.7,0,0,8.2
"Malden","01650000",2019,6564,55.2,19.9,16.8,67.8,43.5,19.3,23.2,24.7,28.4,0.1,0,4.2
"Manchester Essex Regional","06980000",2019,1387,2.2,0.4,9,17,7.8,0.6,0.9,1.3,96.1,0,0,1.1
"Mansfield","01670000",2019,3784,6.1,1.8,15.8,26.8,13.4,3.6,6.6,4.7,81.3,0.1,0,3.8
"Map Academy Charter School (District)","35170000",2019,130,0.8,0,37.7,64.6,50,7.7,0,20,63.8,0.8,1.5,6.2
"Marblehead","01680000",2019,3051,7.1,4,19.3,28.1,9.4,2.8,1.6,6.9,85.4,0.1,0,3.2
"Marblehead Community Charter Public (District)","04640000",2019,226,1.3,1.3,25.2,35.4,11.9,6.2,2.7,3.1,85,0.9,0,2.2
"Marion","01690000",2019,447,1.1,0.7,20.8,33.8,18.8,3.1,1.3,2.9,87,0.4,0,5.1
"Marlborough","01700000",2019,4657,48.8,23.6,16.9,61.1,34.9,3.6,3.5,49,41.1,0.1,0.1,2.6
"Marshfield","01710000",2019,4060,2.5,1.1,17,26.4,11.8,0.4,1.2,2.9,93.5,0.1,0.1,1.7
"Martha's Vineyard","07000000",2019,642,15.1,10.1,20.2,45.5,24.1,4.8,1.1,15.7,71.8,2.5,0.6,3.4
"Martha's Vineyard Charter (District)","04660000",2019,182,4.9,4.4,23.1,51.6,29.1,2.7,0.5,12.1,73.6,2.2,0,8.8
"Martin Luther King Jr. Charter School of Excellence (District)","04920000",2019,372,25,24.2,18.8,80.4,72.8,34.7,1.1,58.3,1.9,0,0,4
"Masconomet","07050000",2019,1785,1.1,0.4,18.5,23.3,5.6,0.4,3.8,2.5,91,0.2,0.1,2.1
"Mashpee","01720000",2019,1616,7.4,3.3,16.5,43,29.8,4.3,2.2,5,73.9,6.1,0.2,8.2
"MATCH Charter Public School (District)","04690000",2019,1218,61.7,26.8,22.7,81.7,58.7,46.3,0.6,48.4,2,0.5,0.2,2.1
"Mattapoisett","01730000",2019,441,1.1,0.7,16.7,28.1,16.1,0.7,1.6,4.3,88.7,0,0,4.8
"Maynard","01740000",2019,1350,9.6,4.9,17,32.9,17.7,2.6,2,11.9,78.7,0.1,0,4.7
